player_id,player_name,season,team,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,HP,IB,SB,CS,AVG,OBP,SLG,OPS,WAR,oWAR,dWAR,wRC+,R_per_PA,BB_pct,K_pct,HR_pct,ISO,1B,wOBA
10189,박건우,2018,18 CF,125,529,488,79,159,24,6,12,84,28,65,10,1,7,3,0.326,0.373,0.473,0.846,2.93,2.88,0.04,118.5,0.156,0.052930056710775046,0.12287334593572778,0.022684310018903593,0.14699999999999996,117,0.37060491493383746
10189,박건우,2019,19 RF,127,537,458,83,146,27,5,10,64,60,57,7,0,12,3,0.319,0.397,0.465,0.862,5.2,4.86,0.34,153.1,0.168,0.11173184357541899,0.10614525139664804,0.0186219739292365,0.14600000000000002,104,0.37689013035381747
10189,박건우,2020,20 RF,129,551,487,103,148,40,0,14,70,42,65,12,2,8,2,0.304,0.369,0.472,0.841,3.76,3.75,0.01,133.0,0.163,0.07622504537205081,0.11796733212341198,0.025408348457350273,0.16799999999999998,94,0.36566243194192377
10189,박건우,2021,21 RF,126,525,458,82,149,31,2,6,63,50,72,11,2,13,0,0.325,0.4,0.441,0.841,4.32,4.5,-0.18,143.3,0.165,0.09523809523809523,0.13714285714285715,0.011428571428571429,0.11599999999999999,110,0.37243809523809523
10189,박건우,2022,22 CF,111,463,408,52,137,18,1,10,61,44,62,8,1,3,3,0.336,0.408,0.458,0.866,3.97,4.22,-0.24,147.3,0.173,0.09503239740820735,0.13390928725701945,0.02159827213822894,0.122,108,0.3838444924406048
10189,박건우,2023,23 RF,130,533,458,70,146,34,2,12,85,56,71,9,0,7,5,0.319,0.397,0.48,0.877,4.05,4.29,-0.24,149.2,0.176,0.1050656660412758,0.13320825515947468,0.0225140712945591,0.16099999999999998,98,0.38266416510318957
10192,이종욱,2016,16 CF,134,517,453,73,138,24,4,5,57,54,73,1,0,15,3,0.305,0.376,0.408,0.784,1.87,1.91,-0.04,103.2,0.141,0.10444874274661509,0.14119922630560927,0.009671179883945842,0.10299999999999998,105,0.3460154738878143
10195,정수빈,2019,19 CF,123,513,441,75,117,19,5,0,41,57,60,6,0,26,8,0.265,0.354,0.331,0.685,2.69,2.13,0.56,103.2,0.113,0.1111111111111111,0.11695906432748537,0.0,0.066,93,0.30925925925925923
10195,정수빈,2020,20 CF,141,559,490,84,146,17,8,5,59,55,56,2,3,15,6,0.298,0.368,0.396,0.764,2.94,2.74,0.2,113.0,0.139,0.09838998211091235,0.1001788908765653,0.008944543828264758,0.09800000000000003,116,0.335742397137746
10195,정수빈,2022,22 CF,127,455,405,58,105,12,4,3,41,39,56,1,1,15,8,0.259,0.323,0.331,0.654,1.28,1.02,0.26,86.3,0.096,0.08571428571428572,0.12307692307692308,0.006593406593406593,0.07200000000000001,86,0.2905274725274725
10195,정수빈,2023,23 CF,137,583,498,75,143,14,11,2,33,64,63,7,1,39,8,0.287,0.375,0.371,0.746,4.4,3.93,0.47,121.2,0.137,0.1097770154373928,0.10806174957118353,0.003430531732418525,0.08400000000000002,116,0.32974271012006856
10195,정수빈,2024,24 CF,136,608,510,95,145,21,3,4,47,71,72,9,1,52,13,0.284,0.376,0.361,0.737,3.07,2.62,0.45,100.2,0.131,0.11677631578947369,0.11842105263157894,0.006578947368421052,0.07700000000000001,117,0.32817434210526314
10195,정수빈,2025,25 CF,132,546,462,89,119,16,4,6,38,61,57,11,2,26,13,0.258,0.355,0.348,0.703,2.83,2.32,0.51,104.8,0.122,0.11172161172161173,0.1043956043956044,0.01098901098901099,0.08999999999999997,93,0.3153479853479853
10232,강민호,2016,16 C,116,460,381,65,123,26,0,20,72,66,91,10,4,4,0,0.323,0.433,0.549,0.982,5.47,5.1,0.37,142.2,0.206,0.14347826086956522,0.19782608695652174,0.043478260869565216,0.22600000000000003,77,0.4267173913043478
